Aluminum,Conet Engineering,011 884 2121,091 118 4677,Addis Ababa,,,,,
Aluminum,windal aleminium,091 120 3290,091 120 3290,Addis Ababa,,,,,
Aluminum,Zobel Alumnium Work,011 863 0215,091 121 4292,Addis Ababa,,,,,
Aluminum,yenesew and melkamu metal and aluminum works,091 073 3997,091 073 3997,Addis Ababa,,,,,
Aluminum,yutaf aluminium plc,011 185 9214,091 122 7536,Addis Ababa,,,,,
Aluminum,Universal Furniture & Aluminum Work,011 838 9304,091 120 8269,Addis Ababa,,,,,
Aluminum,Yonkan Aluminium,091 123 6331,091 123 6331,Addis Ababa,,,,,
Aluminum,Delina Almunium & PVC Works plc,091 100 1011,091 100 1011,Addis Ababa,,,,,
Aluminum,DELINA ALUMINUM AND PVC WORKS PLC,091 164 1615,091 164 1615,Addis Ababa,,,,,
Aluminum,Double S Aluminum,011 434 2476,011 434 2476,Addis Ababa,,,,,
Aluminum,D & E ALUMINIUM WORKS PLC,011 810 0616,011 810 0616,Addis Ababa,,,,,
Aluminum,DJ Aluminum Trading plc,091 121 4170,091 121 4170,Addis Ababa,,,,,
Aluminum,Dabk Aluminum & Metal Works plc,091 104 5828,091 246 6215,Addis Ababa,,,,,
Aluminum,Jemila Ibrahim Glass And Frame Work,011 416 7544,011 416 7544,Addis Ababa,,,,,
Aluminum,germen aluminum industry,011 686 0202,091 156 0755,Addis Ababa,,,,,
Aluminum,GERMEN ALUMINUM,093 010 0803,093 003 4640,Addis Ababa,,,,,
Aluminum,g tech pvc product plc,011 647 9459,011 647 9459,Addis Ababa,,,,,
Aluminum,GHA plc,091 122 1959,091 215 6329,Addis Ababa,,,,,
Aluminum,Jeilis Aluminum Works PLC,093 601 0370,093 601 0370,Addis Ababa,,,,,
Aluminum,JMS ALUMUNIUUM,091 160 4050,091 160 4050,Addis Ababa,,,,,
Aluminum,jevis aluminum work,011 554 9960,011 554 9960,Addis Ababa,,,,,
Aluminum,john aluminium and  glass factory plc,011 515 2231,011 515 2231,Addis Ababa,,,,,
Aluminum,JOHN ALUMINUM AND GLASS FACTORY PLC,011 661 6797,011 661 6797,Addis Ababa,,,,,
Aluminum,john aluminium and glass factory,011 661 6799,011 661 6799,Addis Ababa,,,,,
Aluminum,gulf extrusions,011 662 0498,011 662 0498,Addis Ababa,,,,,
Aluminum,GUMTALE TRADING PLC,011 662 6190,011 662 6190,Addis Ababa,,,,,
Aluminum,Girma Abebe Emt.,091 148 0860,091 148 0860,Addis Ababa,,,,,
Aluminum,Groy General Trading,091 107 1444,091 107 1444,Addis Ababa,,,,,
Aluminum,Filler Alumunium,091 357 5474,091 357 5474,Addis Ababa,,,,,
Aluminum,fikreslase kifle almunium work,091 125 3039,011 442 4200,Addis Ababa,,,,,
Aluminum,PATEG ALUMINUM WORKING PLC,091 142 8752,091 187 4995,Addis Ababa,,,,,
Aluminum,vision aluminum,091 102 9594,091 102 2959,Addis Ababa,,,,,
Aluminum,Vision Almunium Manufactur Plc,011 416 6033,091 150 7898,Addis Ababa,,,,,
Aluminum,Vission Alunum,094 113 1111,094 113 1111,Addis Ababa,,,,,
Aluminum,Vonall Com PLC,011 551 1659,091 125 0622,Addis Ababa,,,,,
Aluminum,VON ALLMEN ERNEST ALMUNIUM ANDE METAL WORK SHOP,011 551 6768,091 250 7643,Addis Ababa,,,,,
Textile,ABAY & TANA TEXTILE,011 275 2098,011 275 2098,Addis Ababa,,,,,
Textile,Abayneh Tana Textile,091 169 2038,091 169 2038,Addis Ababa,,,,,
Textile,ABDURAHMAN ABRAHA GENRAL IMPORTER,011 275 5590,091 110 5088,Addis Ababa,,,,,
Textile,ABEM TEXTILE FACTORY,091 120 5590,091 120 5590,Addis Ababa,,,,,
Textile,aboneh abebe textile,011 276 4346,091 161 0991,Addis Ababa,,,,,
Textile,Abyssinia Textile,058 226 2952,091 183 8929,Addis Ababa,,,,,
Textile,adama development plc,011 554 8170,011 554 8170,Addis Ababa,,,,,
Textile,Adey Ababa Shar Co.,011 442 2300,011 470 7025,Addis Ababa,,,,,
Textile,adey abaeba textile,011 442 3455,011 442 3455,Addis Ababa,,,,,
Textile,ADIS TEXTILE AND LADIES SEWING,011 275 7346,091 122 9610,Addis Ababa,,,,,
Textile,african cotton plc,011 440 4864,091 028 5224,Addis Ababa,,,,,
Textile,ahmed abdulkerim,011 275 1847,091 164 3350,Addis Ababa,,,,,
Textile,AHMED MOHAMED TEXTILE SHOPE,011 275 3489,091 165 5726,Addis Ababa,,,,,
Textile,Akaki Textile S.C,011 434 0140,011 434 0140,Addis Ababa,,,,,
Textile,AKALU AMSALU WOLDEMICHAEL,091 122 3106,091 122 3106,Addis Ababa,,,,,
Textile,akiber trading,011 127 6700,091 120 6396,Addis Ababa,,,,,
Textile,Al-Asr Industries Plc,011 667 3614,011 667 3654,Addis Ababa,,,,,
Textile,Alchiefon Textilles Trading Plc,011 372 7390,011 882 9263,Addis Ababa,,,,,
Textile,Alchiffon Textiles Trading PLC,091 106 4420,091 106 4420,Addis Ababa,,,,,
Textile,Alemgena Textile Factory plc,093 599 8544,093 599 8544,Addis Ababa,,,,,
Textile,ALI MOZ MOHAMMED,011 276 4149,011 276 4149,Addis Ababa,,,,,
Textile,Almeda Textile  Factory PLC,011 551 5938,091 151 6534,Addis Ababa,,,,,
Textile,alpha ready made department store,011 371 0265,091 187 1781,Addis Ababa,,,,,
Textile,AMARECH DEBELA THREAD SHOP,011 276 6632,011 276 6632,Addis Ababa,,,,,
Textile,amarech w/giyorgis,011 277 0401,091 145 0080,Addis Ababa,,,,,
Textile,Andinet Curtain Work,011 111 9417,091 113 2267,Addis Ababa,,,,,
Textile,arada general curtain work,011 111 6316,011 111 6316,Addis Ababa,,,,,
Textile,Ararat Investment,091 167 1503,091 167 1503,Addis Ababa,,,,,
Textile,ASCOT PLC,011 551 7103,011 551 7103,Addis Ababa,,,,,
Textile,ASERATE KEMAL EUSMAN,011 275 2834,091 122 9527,Addis Ababa,,,,,
Textile,Ashenafi Kebede Textile Import,091 114 7433,091 114 7433,Addis Ababa,,,,,
Textile,ASTAB FAMILY GENERAL IMPEX PLC,011 550 4997,011 550 4997,Addis Ababa,,,,,
Textile,AT TEXTILE,093 007 8382,091 122 2868,Addis Ababa,,,,,
Textile,Atnassy Body Cover,091 165 1952,091 165 1952,Addis Ababa,,,,,
Textile,Awassa Textile S.co,011 553 1993,011 553 1993,Addis Ababa,,,,,
Textile,Ayka Addis Textile & Investment Group plc,013 387 1179,013 187 1180,Addis Ababa,,,,,
Textile,ayka addis textile and investment group,011 661 6951,011 387 1179,Addis Ababa,,,,,
Textile,Azemet Gelagay Textile Shop,091 327 5918,091 327 5918,Addis Ababa,,,,,
Textile,BAHIRDAR TEXTILE S.CO,011 553 1381,091 834 0337,Addis Ababa,,,,,
Textile,Bekele Dadebare Textile,011 213 2466,011 213 2466,Addis Ababa,,,,,
